SURVYEAR	FIPST	STABR	STATENAME	SEANAME	LEAID	ST_LEAID	LEA_NAME	SCHID	ST_SCHID	NCESSCH	SCH_NAME	MSTREET1	MSTREET2	MSTREET3	MCITY	MSTATE	MZIP	MZIP4	PHONE	LSTREET1	LSTREET2	LSTREET3	LCITY	LSTATE	LZIP	LZIP4	UNION	OUT_OF_STATE_FLAG	SCH_TYPE_TEXT	SCH_TYPE	RECON_STATUS	GSLO	GSHI	LEVEL	VIRTUAL	BIES	SY_STATUS_TEXT	SY_STATUS	UPDATED_STATUS_TEXT	UPDATED_STATUS	EFFECTIVE_DATE	CHARTER_TEXT	PKOFFERED	KGOFFERED	G1OFFERED	G2OFFERED	G3OFFERED	G4OFFERED	G5OFFERED	G6OFFERED	G7OFFERED	G8OFFERED	G9OFFERED	G10OFFERED	G11OFFERED	G12OFFERED	G13OFFERED	AEOFFERED	UGOFFERED	NOGRADES	CHARTAUTH1	CHARTAUTHN1	CHARTAUTH2	CHARTAUTHN2	IGOFFERED
2014-2015	01	AL	ALABAMA	Alabama Department Of Education	0100002	210	Alabama Youth Services	02249	4999	010000202249	Child Count Only	PO Box 66			Mount Meigs	AL	36057		3342153859	1000 Industrial School Road			Mt. Meigs	AL	36057		000	N	Reportable Program	5	No	N	N	N	Yes	2	Open	1	Open	1	09APR2015:18:45:31	Not Applicable	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	Y	NOT APPLICABLE	NOT APPLICABLE	NOT APPLICABLE	NOT APPLICABLE	R
2014-2015	01	AL	ALABAMA	Alabama Department Of Education	0100005	101	Albertville City	02226	4999	010000502226	Child Count Only	107 W Main St			Albertville	AL	35950		2568911183	107 West Main Street			Albertville	AL	35950		000	N	Reportable Program	5	No	PK	12	4	Yes	2	Open	1	Open	1	09APR2015:18:44:40	Not Applicable	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	N	N	N	N	NOT APPLICABLE	NOT APPLICABLE	NOT APPLICABLE	NOT APPLICABLE	R
2014-2015	01	AL	ALABAMA	Alabama Department Of Education	0100006	048	Marshall County	02289	4999	010000602289	Child Count Only	12380 US Highway 431			Guntersville	AL	35976		2565823171	12380 US Highway 431 S			Guntersville	AL	35976		000	N	Reportable Program	5	No	N	N	N	Yes	2	Open	1	Open	1	09APR2015:18:44:27	Not Applicable	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	Y	NOT APPLICABLE	NOT APPLICABLE	NOT APPLICABLE	NOT APPLICABLE	R
2014-2015	01	AL	ALABAMA	Alabama Department Of Education	0100007	158	Hoover City	02257	4999	010000702257	Child Count Only	2810 Metropolitan Way			Birmingham	AL	35243		2054391015	2810 Metropolitan Way			Hoover	AL	35243		000	N	Reportable Program	5	No	N	N	N	Yes	2	Open	1	Open	1	09APR2015:18:45:01	Not Applicable	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	Y	NOT APPLICABLE	NOT APPLICABLE	NOT APPLICABLE	NOT APPLICABLE	R
2014-2015	01	AL	ALABAMA	Alabama Department Of Education	0100008	169	Madison City	02281	4999	010000802281	Child Count Only	211 Celtic Dr			Madison	AL	35758		2564648370	211 Celtic Drive			Madison	AL	35758		000	N	Reportable Program	5	No	N	N	N	Yes	2	Open	1	Open	1	09APR2015:18:45:08	Not Applicable	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	Y	NOT APPLICABLE	NOT APPLICABLE	NOT APPLICABLE	NOT APPLICABLE	R
2014-2015	01	AL	ALABAMA	Alabama Department Of Education	0100009	600	Al Inst Deaf And Blind	02231	9030	010000902231	Child Count Only	1001 Monroe St.			Huntsville	AL	35801		2567613200	1001 Monroe St.			Huntsville	AL	35801		000	N	Reportable Program	5	No	N	N	N	Yes	2	Open	1	Open	1	29APR2015:14:32:34	Not Applicable	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	Y	NOT APPLICABLE	NOT APPLICABLE	NOT APPLICABLE	NOT APPLICABLE	R
2014-2015	01	AL	ALABAMA	Alabama Department Of Education	0100011	167	Leeds City	02296	4999	010001102296	Child Count Only	PO Box 1029			Leeds	AL	35094		2056995437	1404 8th Street			Leeds	AL	35094		000	N	Reportable Program	5	No	N	N	N	Yes	2	Open	1	Open	1	09APR2015:18:45:06	Not Applicable	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	Y	NOT APPLICABLE	NOT APPLICABLE	NOT APPLICABLE	NOT APPLICABLE	R
2014-2015	01	AL	ALABAMA	Alabama Department Of Education	0100012	115	Boaz City	02266	4999	010001202266	Child Count Only	126 Newt Parker Dr			Boaz	AL	35957		2565938180	126 Newt Parker Dr			Boaz	AL	35957		000	N	Reportable Program	5	No	N	N	N	Yes	2	Open	1	Open	1	09APR2015:18:44:47	Not Applicable	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	Y	NOT APPLICABLE	NOT APPLICABLE	NOT APPLICABLE	NOT APPLICABLE	R
2014-2015	01	AL	ALABAMA	Alabama Department Of Education	0100013	205	Trussville City	02409	4999	010001302409	Child Count Only	113 N Chalkville Rd			Trussville	AL	35173		2052283018	113 N Chalkville Road			Trussville	AL	35173		000	N	Reportable Program	5	No	N	N	N	Yes	2	Added	4	Added	4	09APR2015:18:45:30	Not Applicable	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	Y	NOT APPLICABLE	NOT APPLICABLE	NOT APPLICABLE	NOT APPLICABLE	R
2014-2015	01	AL	ALABAMA	Alabama Department Of Education	0100015	602	SafetyNet Academy	01827	3024	010001501827	SafetyNet The Ranch	80 Mel Bailey Drive			Minter	AL	36761		3348726196	80 Mel Bailey Drive			Minter	AL	36761		000	N	Reportable Program	5	No	N	N	N	No	2	Open	1	Open	1	04FEB2015:11:27:06	Not Applicable	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	Y	NOT APPLICABLE	NOT APPLICABLE	NOT APPLICABLE	NOT APPLICABLE	R
